FID	OBJECTID	ADD_ID_HC	ANUMBER	ANUMBERSUF	ST_PRE_MOD	ST_PRE_DIR	ST_PRE_TYP	ST_NAME	ST_POS_TYP	ST_POS_DIR	ST_POS_MOD	SUB_AD_TYP	SUB_AD_ID	CONCAT_AD	MUNI_NAME	ZIP	ZIP4	LANDMARK_1	LANDMARK_2	FLR_LVL	ADD_TYPE	LONGITUDE	LATITUDE	PID	GlobalID
324	41432	60489	15	 	 	 	 	1st	Street	South	 	 	A1509	15 1st Street South A1509	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320269	{C34B7603-7F92-4833-BCB7-8FC94CA3691F}
170	21220	56130	15	 	 	 	 	1st	Street	South	 	 	A1510	15 1st Street South A1510	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320270	{5D4AF09B-8C07-4702-B933-93D8D9423C37}
1165	151462	33372	15	 	 	 	 	1st	Street	South	 	 	A1511	15 1st Street South A1511	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320271	{3733322E-E4C7-42C4-A51B-390EA76A0476}
647	82760	60620	15	 	 	 	 	1st	Street	South	 	 	A1513	15 1st Street South A1513	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320273	{27FE1E5E-BC32-49FD-9D54-B1764DAB6952}
3680	451277	34060	15	 	 	 	 	1st	Street	South	 	 	A1515	15 1st Street South A1515	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320275	{C7911528-1479-43B1-A089-68DA45775435}
3374	413413	39602	15	 	 	 	 	1st	Street	South	 	 	A1516	15 1st Street South A1516	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320276	{E29AC6BE-F393-4668-A12A-CBD09B2FE267}
3254	398436	38961	15	 	 	 	 	1st	Street	South	 	 	A1517	15 1st Street South A1517	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320277	{13378BFA-703D-4E4A-B789-65F09A6098BF}
1494	189923	60064	15	 	 	 	 	1st	Street	South	 	 	A1518	15 1st Street South A1518	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320278	{952B780F-546B-44B1-8601-C8FA4A7CDB22}
21	3203	40458	15	 	 	 	 	1st	Street	South	 	 	A1519	15 1st Street South A1519	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320279	{E408FBAA-2F25-4789-B7CD-A8D2E78D1D41}
1469	185965	58251	15	 	 	 	 	1st	Street	South	 	 	A1520	15 1st Street South A1520	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320280	{41E50DA8-C3F4-47E0-A207-FBADD80236B6}
777	101335	83580	15	 	 	 	 	1st	Street	South	 	 	A1601	15 1st Street South A1601	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320281	{2AB61C84-3617-41DF-B7C6-266924F36DEF}
2429	301006	60688	15	 	 	 	 	1st	Street	South	 	 	A1602	15 1st Street South A1602	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320282	{03C1A023-E651-4187-8ADF-AA0C28A0ACB8}
2746	338699	60468	15	 	 	 	 	1st	Street	South	 	 	A1603	15 1st Street South A1603	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320283	{C20C9D4B-F916-419D-AC6F-666CEE333435}
3448	423590	77828	15	 	 	 	 	1st	Street	South	 	 	A1605	15 1st Street South A1605	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320285	{A1728903-5866-4EBD-9F40-FBF9E028728C}
2844	348959	83380	15	 	 	 	 	1st	Street	South	 	 	A1607	15 1st Street South A1607	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320287	{DEC74FAF-17B3-4331-AC25-5B3FCD920597}
1776	225163	39071	15	 	 	 	 	1st	Street	South	 	 	A1608	15 1st Street South A1608	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320288	{41C91AD1-ED50-4B16-A9D7-319E60E4E147}
3014	369309	60561	15	 	 	 	 	1st	Street	South	 	 	A1609	15 1st Street South A1609	Minneapolis	55401	 	 	 	0	Structure	-93.26660601	44.9831249	2302924320289	{42D4CBCE-5D77-4DA2-97B4-445274F6795A}
